Infrared Value : 0.00  Visible Value: 0.00 lux data0: 00 lux data1: 00 lux data2: 00 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 124.00 lux data0: 147 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 124.00 lux data0: 147 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 124.00 lux data0: 147 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 124.00 lux data0: 147 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 21.00  Visible Value: 117.00 lux data0: 138 lux data1: 00 lux data2: 21 lux data3: 00 lux 
Infrared Value : 21.00  Visible Value: 117.00 lux data0: 138 lux data1: 00 lux data2: 21 lux data3: 00 lux 
Infrared Value : 18.00  Visible Value: 99.00 lux data0: 117 lux data1: 00 lux data2: 18 lux data3: 00 lux 
Infrared Value : 18.00  Visible Value: 99.00 lux data0: 117 lux data1: 00 lux data2: 18 lux data3: 00 lux 
Infrared Value : 22.00  Visible Value: 124.00 lux data0: 146 lux data1: 00 lux data2: 22 lux data3: 00 lux 
Infrared Value : 22.00  Visible Value: 124.00 lux data0: 146 lux data1: 00 lux data2: 22 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 128.00 lux data0: 151 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 128.00 lux data0: 151 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 128.00 lux data0: 151 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 128.00 lux data0: 151 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 128.00 lux data0: 151 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 128.00 lux data0: 151 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 128.00 lux data0: 151 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 129.00 lux data0: 152 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 129.00 lux data0: 152 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 129.00 lux data0: 152 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 129.00 lux data0: 152 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 129.00 lux data0: 152 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 129.00 lux data0: 152 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 129.00 lux data0: 152 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 129.00 lux data0: 152 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 129.00 lux data0: 152 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 129.00 lux data0: 152 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 130.00 lux data0: 153 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 130.00 lux data0: 153 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 130.00 lux data0: 153 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 130.00 lux data0: 153 lux data1: 00 lux data2: 23 lux data3: 00 lux 
Infrared Value : 23.00  Visible Value: 130.00 lux data0: 153 lux data1: 00 lux data2: 23 lux data3: 00 lux 
