Infrared Value : 0.00  Visible Value: 0.00 lux data0: 00 lux data1: 00 lux data2: 00 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 33.00 lux data0: 42 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 33.00 lux data0: 42 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 32.00 lux data0: 41 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 32.00 lux data0: 41 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 30.00 lux data0: 38 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 30.00 lux data0: 38 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 30.00 lux data0: 38 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 30.00 lux data0: 38 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 32.00 lux data0: 41 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 32.00 lux data0: 41 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 33.00 lux data0: 42 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 33.00 lux data0: 42 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 33.00 lux data0: 42 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 33.00 lux data0: 42 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 33.00 lux data0: 42 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 33.00 lux data0: 42 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 33.00 lux data0: 42 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 32.00 lux data0: 41 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 32.00 lux data0: 41 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 32.00 lux data0: 41 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 9.00  Visible Value: 32.00 lux data0: 41 lux data1: 00 lux data2: 09 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 33.00 lux data0: 41 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 33.00 lux data0: 41 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 32.00 lux data0: 40 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 32.00 lux data0: 40 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 32.00 lux data0: 40 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 32.00 lux data0: 40 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 32.00 lux data0: 40 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 32.00 lux data0: 40 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 32.00 lux data0: 40 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 32.00 lux data0: 40 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 8.00  Visible Value: 31.00 lux data0: 39 lux data1: 00 lux data2: 08 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
Infrared Value : 7.00  Visible Value: 32.00 lux data0: 39 lux data1: 00 lux data2: 07 lux data3: 00 lux 
